0,@HusinShihab bacot. di tempat gue bapaknya caleg pdi,Neutral
1,@Ajib20293663 Politik dinasti itu klo di tunjuk lsg anak jd menteri misal nya   Klo si gibran itu msih harus di pilih rakyat,Neutral
2,@m_nurfatoni @gibran_tweet maksudnya politik dinasti??? lah ini yg milih rakyat,Neutral
3,@Dadank89204401 @obed_suyatno @AirinDatangLagi salahnya politik dinasti? kan yang milih rakyat? https://t.co/I6IpBILJEz,Negative
4,@hilmi_ji @officialbilsam @planetaneptunus @Gerindra @PolJokesID politik dinasti apaan?   kalau ujung-ujungnya rakyat yang milih ya nggak dinasti,Neutral
5,@ekokuntadhi1 Sama2 dinasti,Neutral
6,@narkosun Justru yg milih YA itu org bodoh,Neutral
7,Rakyat cuma milih iya apa tidak,Positive
8,@CNNIndonesia Dinasti (kalau memang itu disebut dinasti) silakan saja wong yang milih rakyat. Tapi jangan juga pakai acara mengoprek UU pak,Positive
9,Ini gak disebut MENATA KATA? Spt ISU sudah BUKAN KELUARGA karena BEDA Kartu Keluarga (KK). #Dagelan Yang Milih Rakyat agar terlihat Alami tapi yang NGATUR/CAWE² ya Bapaknya. 🤮 Terlalu LUGU bin DUNGU Orang² yg dukung ALASAN Bapak ini ttg POLITIK DINASTI.  \Mukenye sih Ndeso...,Positive
10,@narkosun Itu menunjukkan bhw rakyat Konoha itu gampang di bodohi,Neutral
11,dinasti politik. Yg milih rakyat bukan elit politik. Kalau pun memang tidak menyalahgunakan kekuasaan,Positive
12,@prabu_2112 @Putra_Adi_YM @saiful_mujani Ya betul tapi kalau semua paham dari situlah politik dinasti dimulai karena tidak akan mungkin kalahlah kalau anak/ menantu ikut pilkada dan dulu malah dibela yg milih rakyat lah dan imbasnya sekarang karena kekuas,Negative
13,politik dinasti dr mana wkwk yg milih kan rakyat🤣,Neutral
14,Ini,Neutral
15,Terkait politik dinasti,Neutral
16,@KompasTV Dlm negara demokrasi yg milih rakyat itu bener Pak @jokowi tp dlm negara demokrasi jg diajarkan tentang etika/adab dlm berpolitik..krn kita bkn negara komunis/otoriter..apakah rakyat indonesia semuanya dianggap bodoh dn satu suara soal pemahaman,Negative
17,@CNNIndonesia Yg milih mmg rakyat,Neutral
18,Aku juga bingung. Secara undang2,Negative
19,@tvOneNews yang milih rakyat yang nyoblos rakyat kalo mayoritas gak demen sama dinasti politik,Negative
20,@liputan6dotcom Rupiah masih aman (karena masyarakat belanjanya pakai rupiah). Politik Dinasti noproblem,Positive
21,@Mbahhardiman @kumparan Tinggal rakyat yg milih . Kalo gamau politik dinasti tinggal nyoblos anies,Negative
22,@Lembayung071 Yang milih memang rakyat tapi yang ngutak-ngatik peraturan dan hukum itu kekuasaan,Neutral
23,@Dennysiregar7 dulu kami sudah protes dan wanti wanti politik dinasti saat anak menantu Jokowi maju di politik,Negative
24,@kompascom Emang bener yg milih rakyat,Positive
25,@hiiii_denn @ernestprakasa Politik dinasti politik dinasti. Org yg milih aja rakyat 😂 ya salahin rakyat dong yg milih wkwk,Positive
26,Politik dinasti itu diwariskan,Neutral
27,Tanggapan Jokowi saat ditanya Hubungan dengan Megawati dan Perihal soal Politik Dinasti.   Seperti biasa jawabannya rada rada kagak nyambung,Neutral
28,@Flying_Crack @neohistoria_id Dinasti politik kalau itu sistemnya kerajaan,Neutral
29,Halah dari awal gw juga paham cara main kalian.keenakan suara naik karena pildun20 terus isunya mau dibawa terus ke pilpres. Kau fikir rakyat mau milih presiden FIFA. Rakyat tetap gak akan lupa Dinasti politik dibanding isu recehan mu. Pengalihan isumu basi.   🤏🤣,Positive
30,Politik dinasti ini udah dari dulu,Neutral
31,@m_nurfatoni @gibran_tweet Cari literatur lagi deh pak soal politik Dinasti. Kalo politik Dinasti itu kekuasaan yg dilimpahkan lgsg lha ini kan yg milih rakyat,Neutral
32,@saiful_mujani Politik Dinasti   TIDAK ADA dalam demokrasi Asal - sesuai konstitusi - bisa bekerja  buat rakyat  - tidak korupsi ,Negative
33,@GibranRakabumi Nahhh bener mas gitu dong di counter issue.  Gak ada politik dinasti lagi,Positive
34,@BlTTERSWlFT @riouchida00 @neohistoria_id Gue jg bingung bang,Negative
35,kalo ditanya soal dinasti politik ke gua bukan karena gua dukung prabowo ya,Negative
36,@kumparan Sama aj,Neutral
37,jadi kepikiran,Neutral
38,Oia banyak jg bilang dinasti politik,Neutral
39,Ini kan demokrasi,Neutral
40,@PINJOLBIADAB @03__nakula politik dinasti itu kayak korea Utara langsung nunjuk anaknya jd penerusnya demokrasi yg milih rkayat kok politik dinasti?kocak cebong gurun ini itu mega drdolo jualan puan tp g laku mau maksain nyapres jg dah pas pasti kalah kar,Positive
41,@WinnerWave_ @dawiguna @Nordicblackmtl Yang milih kan rakyat,Neutral
42,@Miduk17 Di dalam Politik dinasti politik itu ga ada apalagi Kalau Usia cawapres harus 40thn itu nama nya kemunduran ,Neutral
43,@jokowi Politik dinasti? Kan nanti rakyat langsung yg bakal milih atau tidak memilih. Anda pak,Neutral
44,Ternyata mereka semua berhenti berkomentar tentang DINASTI POLITIK.  Kenapa ? Untuk bisa dikatakan dinasti politik itu ada 2 syarat.   1. Seleksi dilakukan oleh Elit. 2. Pemilihan (Eleksi) dilakukan oleh Elit.  Jd klo rakyat yg milih,Negative
45,@m_nurfatoni @gibran_tweet politik dinasti,Neutral
46,@PartaiSocmed @Dennysiregar7 Anak menantu jadi walikota pada bilang  yg milih kan rakyat,Neutral
47,@ernestprakasa Kan yang milih rakyat juga tohh kalo gaada yang pilih gaakan jga ada politik dinasti sesimpel itu toh,Negative
48,@Fahrihamzah Sebenarnya tidak ada istilah politik dinasti di negara kita,Negative
49,"kalo prabowo menang wow banget sih nih rakyat indonesia mau maunya politik dinasti beneran ada. kalo ganjar menang lebih edan lagi bisa2nya masih milih anaknya nenek"" WKWK. kalo satu lagi sejauh ini isunya korupsi dan politik identitas",Positive
50,dinasti politik itu bagaimana? pdhl secara langsung yang milih juga rakyat 🤭,Neutral
51,Isu Dinasti Politik Trah Presiden Jokowi Mencuat,Neutral
52,@BangPino__ Politik dinasti? 🤣yg milih aja rakyat,Neutral
53,Prabowo Cinta Rakyat Isu Dinasti Politik Trah Presiden Jokowi Mencuat,Positive
54,Saat Pilwako Solo,Neutral
55,@chandra_siap @detikcom Kok bisa politik dinasti? Kan nanti pemilu,Neutral
56,@asumsico Selamat berkompetisi mase @gibran_tweet . Yang gasuka tinggal gausah pilih. Klo menang pun bukan politik dinasti karena rakyat langsung yg milih. Woles aja gausah pada kbakaran jenggot.,Positive
